SubTask,Instruction,molecule
MR,Optimize the molecule NC(=O)C=C1CN=C(c2ccccc2Cl)c2cc(CCl)ccc2N1 to have a lower MR value.,CCC(CN)c1ccc(NC(=O)CSCc2ccc(Cl)cc2)cc1
QED,Modify the molecule OC(CNc1cc(C(F)(F)F)cc(Cl)n1)c1ccccc1 to decrease its QED value.,N#CC(F)(F)c1cc(Cl)nc(NCC(O)c2ccccc2)c1
LogP,Modify the molecule C=CCOc1cc(C(F)(F)F)nc(N)n1 to decrease its LogP value.,Cc1ccccc1CC(NC(=O)C(CCC(=O)[O-])NC(=O)C([NH3+])C(C(=O)[O-])C(=O)O)C(=O)N(C(=O)CCC(=O)[O-])C(C(=O)NC(CC(C)C)C(=O)NC=CCCB(O)O)C1CCCCC1
MR,Please optimize the molecule CCC(C)c1ccc(NC(=O)CSCc2ccc(Cl)cc2)cc1 to have a higher MR value.,CCC(CN)c1ccc(NC(=O)CSCc2ccc(Cl)cc2)cc1
QED,Optimize the molecule COc1cccc([Ge](C)(C)C)c1 to have a higher QED value.,Cc1ccc(C(=O)NC(=S)NC(=O)N2CCCCC2)cc1I
LogP,Please optimize the molecule Cc1ccccc1CC(NC(=O)C(CCC(=O)[O-])NC(=O)C([NH3+])CC(=O)[O-])C(=O)N(C(=O)CCC(=O)[O-])C(C(=O)NC(CC(C)C)C(=O)NC=CCCB(O)O)C1CCCCC1 to have a lower LogP value.,Cc1ccccc1CC(NC(=O)C(CCC(=O)[O-])NC(=O)C([NH3+])C(C(=O)[O-])C(=O)O)C(=O)N(C(=O)CCC(=O)[O-])C(C(=O)NC(CC(C)C)C(=O)NC=CCCB(O)O)C1CCCCC1
MR,Modify the molecule COC(=O)Cc1c(C)c2ccc3c(c2oc1=O)C[NH+](CCc1ccccc1OC)CO3 to have a lower MR value.,CCN(CC(F)F)C(=O)c1c(C)[nH]c(C(=O)[O-])c1C
QED,Modify the molecule Cc1ccc(C(=O)NC(=S)Nc2ccc(C(=O)N3CCCCC3)cc2)cc1I to have a higher QED value.,Cc1ccc(C(=O)NC(=S)NC(=O)N2CCCCC2)cc1I
LogP,Please modify the molecule COC1(C(C)(C)O)CCC(=O)C2(CCCCO2)O1 to increase its LogP value.,COC1(C(C)C)CCC(=O)C2(CCCCO2)O1
MR,Modify the molecule CCN(CC(F)(F)F)C(=O)c1c(C)[nH]c(C(=O)[O-])c1C to decrease its MR value.,CCN(CC(F)F)C(=O)c1c(C)[nH]c(C(=O)[O-])c1C
QED,Please modify the molecule CC[NH+](CC)Cc1cc(C(N)=S)ccc1F to decrease its QED value.,CC[NH+](CC)Cc1cccc(C(N)=S)c1
LogP,Modify the molecule O=C(OC(CCCCO)CCCCO)c1ccccc1 to have a higher LogP value.,O=C(OC(CCCCO)CCCCS)c1ccccc1
MR,Please optimize the molecule Cc1ccc2nc(N3CCS(=O)(=O)c4ccccc4C3)nc(NCC(C)(C)[NH3+])c2c1 to have a higher MR value.,Cc1ccc2nc(N3CCS(=O)(=O)c4ccccc4C3)nc(NC(N)C(C)(C)[NH3+])c2c1
QED,Please modify the molecule COc1ccc(-n2cc(-c3ccnc(C(C)C)n3)c(C)n2)cc1 to increase its QED value.,COn1cc(-c2ccnc(C(C)C)n2)c(C)n1
LogP,Optimize the molecule COc1ccc(C(Oc2ccccn2)C(F)(F)I)cc1 to have a lower LogP value.,COc1ccc(C(Oc2ccccn2)C(O)(F)I)cc1
MR,Modify the molecule N=Cc1cc(Nc2ncnc3[nH]ncc23)ccc1N to increase its MR value.,N=Cc1cc(Nc2nc(O)nc3[nH]ncc23)ccc1N
QED,Modify the molecule CCCCC(=O)C(CC(=O)c1cccc(O)c1)c1cccs1 to decrease its QED value.,CCCCC(=O)C(CC(=O)c1cccc(F)c1)c1cccs1
LogP,Please modify the molecule Cc1ccc(C(=O)Nc2ccc(F)c(F)c2)cc1NC(=O)C1CCCN1C(=O)C1CC[NH+](C(C)C(=O)Nc2cccc(C(=O)Nc3ccccc3)c2C)CC1 to decrease its LogP value.,Cc1ccc(C(=O)Nc2ccc(F)c(F)c2)cc1NC(=O)C1CCCN1C(=O)C1(O)CC[NH+](C(C)C(=O)Nc2cccc(C(=O)Nc3ccccc3)c2C)CC1
MR,Optimize the molecule COc1cccc(-n2nc(Cc3c(Cl)cccc3Cl)c(=O)n(CC([NH3+])c3ccccc3)c2=O)c1F to have a higher MR value.,COc1cccc(-n2nc(Cc3c(Cl)cccc3NO)c(=O)n(CC([NH3+])c3ccccc3)c2=O)c1F
QED,Please modify the molecule CCCCn1c(N)c(N(C(=O)CN(CC#N)C2CC2)C2CCCC2)c(=O)[nH]c1=O to decrease its QED value.,CCCCn1c(N)c(N(C(=O)CN(CO)C2CC2)C2CCCC2)c(=O)[nH]c1=O
LogP,Modify the molecule COc1cc(OCC(=O)NCCOc2ccc3ccccc3c2)ccc1[N+](=O)[O-] to decrease its LogP value.,CCCC(CC1CCCCC1)C(=O)OC
MR,Please optimize the molecule CN(Cc1nccn1C(F)F)C(=O)COc1ccc(Cl)cc1 to have a higher MR value.,CN(Cc1nccn1C(F)C#N)C(=O)COc1ccc(Cl)cc1
QED,Modify the molecule O=[S+]([O-])(NC1CC[NH+](Cc2ccc(-c3ccsc3)cc2)C1)c1cccs1 to increase its QED value.,O=[S+]([O-])(c1cccs1)C1CC[NH+](Cc2ccc(-c3ccsc3)cc2)C1
LogP,Please modify the molecule CCCC(C(=O)OC)C(O)C1CCCCC1 to increase its LogP value.,CCCC(CC1CCCCC1)C(=O)OC
MR,Optimize the molecule N#CC(CN)Cc1cnn2ccoc12 to have a lower MR value.,CC(=O)c1ccc(CN(Cc2coc3ccccc3c2=O)C(=O)CN(CC2CCCO2)S(=O)(=O)C=Cc2ccccc2)cc1
QED,Modify the molecule CS(=O)(=O)Nc1ccc(C(=O)NCCN2C(=O)SC(=Cc3ccc(F)cc3)C2=O)cc1 to have a lower QED value.,CCCCCCCCC(O)CCCCCCCn1cccc1C=O
LogP,Please optimize the molecule CCC(CS(=O)c1ccc2ccccc2c1)NC to have a higher LogP value.,CCC(C)CS(=O)c1ccc2ccccc2c1
MR,Please modify the molecule O=C(CN(CC1CCCO1)S(=O)(=O)C=Cc1ccccc1)N(Cc1ccc(F)cc1)Cc1coc2ccccc2c1=O to increase its MR value.,CCC1(S)CCS(=O)(=O)CC1O
QED,Optimize the molecule CCCCCCCCCCCCCCCCn1cccc1C=O to have a higher QED value.,CCCCCCCCC(O)CCCCCCCn1cccc1C=O
LogP,Modify the molecule O=[N+]([O-])c1cccnc1NN=Cc1ccc2c(ccn2Cc2cccc(F)c2)c1 to have a lower LogP value.,N#Cc1cccc(Cn2ccc3cc(C=NNc4ncccc4[N+](=O)[O-])ccc32)c1
MR,Modify the molecule CCC1(C#N)CCS(=O)(=O)CC1O to have a higher MR value.,CCC1(S)CCS(=O)(=O)CC1O
QED,Please modify the molecule COc1cc(OC)c(C=C2C(=O)c3ccccc3C2=O)cc1Cl to decrease its QED value.,COc1cc(OC)c(C=C2C(=O)c3ccccc3C2=O)cc1S
LogP,Modify the molecule COC1(C(=O)Nc2cccc(-c3nnnn3C)c2)CC[NH2+]CC1 to have a lower LogP value.,COC1(C(=O)Nc2cc(-c3nnnn3C)ccc2O)CC[NH2+]CC1
MR,Modify the molecule CCC(C)Nc1cc(F)cc(C(=O)[O-])c1 to increase its MR value.,CC(CCO)Nc1cc(F)cc(C(=O)[O-])c1
QED,Please optimize the molecule CC(C)C(NC(=O)CSc1nnnn1C1CCCC1)c1nc(-c2ccncc2)no1 to have a higher QED value.,C[NH2+]CC1CCC([NH3+])C(OC2C([NH3+])CC(NC(=O)N(O)CC[NH3+])C(O)C2OC2OC(CO)C(OC3OC(C[NH3+])C(O)CC3[NH3+])C2O)O1
LogP,Please optimize the molecule CCc1cc(Cn2c(=O)oc3cc(I)ccc32)n(C)n1 to have a lower LogP value.,CC(=O)c1ccc2c(c1)oc(=O)n2Cc1cc(CC)nn1C
MR,Modify the molecule CCC(=O)NC1CCN(c2ccccc2C(=O)N2CCN(C(C)=O)CC2)CC1 to have a lower MR value.,CC1(C(=O)NS(=O)(=O)c2cccc(F)c2)CCN1C(=O)C1(c2ccccc2)CCC(C(=O)O)C1
QED,Please modify the molecule C[NH2+]CC1CCC([NH3+])C(OC2C([NH3+])CC(NC(=O)N(O)CC[NH3+])C(O)C2OC2OC(CO)C(OC3OC(C[NH3+])C(O)C(O)C3[NH3+])C2O)O1 to increase its QED value.,C[NH2+]CC1CCC([NH3+])C(OC2C([NH3+])CC(NC(=O)N(O)CC[NH3+])C(O)C2OC2OC(CO)C(OC3OC(C[NH3+])C(O)CC3[NH3+])C2O)O1
LogP,Please optimize the molecule CCC[NH2+]C(CCc1ccsc1)c1cc(C)oc1C to have a lower LogP value.,CCC[NH2+]C(CCc1ccsc1O)c1cc(C)oc1C
MR,Optimize the molecule CC1(C(=O)NS(=O)(=O)c2cccc(F)c2)CCN1C(=O)C1(c2ccccc2)CCCC1 to have a higher MR value.,CC1(C(=O)NS(=O)(=O)c2cccc(F)c2)CCN1C(=O)C1(c2ccccc2)CCC(C(=O)O)C1
QED,Please modify the molecule Cc1nc2sc(C(c3ccc(Br)cc3F)[NH+]3CCCCC3)c(O)n2n1 to increase its QED value.,Cc1nc2sc(C(c3ccc(Br)cc3)[NH+]3CCCCC3)c(O)n2n1
LogP,Modify the molecule Cc1cnc(N(C)Cc2ccno2)nc1N(C)C to have a lower LogP value.,Cc1c(N)nc(N(C)Cc2ccno2)nc1N(C)C
MR,Modify the molecule CN(Cc1ccc(O)cc1)C(=O)C1CCC[NH+](Cc2ccccc2)C1 to decrease its MR value.,CC(=O)c1ccc(C(=O)NC2C[NH2+]CC(C)C2)cc1O
QED,Optimize the molecule CCCCCCCC[NH2+]CCC1([NH2+]C)CCCCC1 to have a lower QED value.,[NH3+]C(CC(=O)[O-])NC(=O)c1ccc(N2CCN(C3=[NH+]CCCN3)CC2)c(O)c1
LogP,Modify the molecule CCC1(C(=O)OOc2ccc(Cl)c(F)c2)CCCn2c(-c3ccc(-c4cnc(C)o4)c(OC)c3)nnc21 to have a higher LogP value.,CCC(CC)N(CCBr)c1ccc(C(F)F)cc1F
MR,Modify the molecule CC1C[NH2+]CC(NC(=O)c2ccc(O)c(O)c2)C1 to increase its MR value.,CC(=O)c1ccc(C(=O)NC2C[NH2+]CC(C)C2)cc1O
QED,Modify the molecule [NH3+]C(CC(=O)[O-])NC(=O)c1ccc(N2CCN(C3=[NH+]CCCN3)CC2)c(F)c1 to have a lower QED value.,[NH3+]C(CC(=O)[O-])NC(=O)c1ccc(N2CCN(C3=[NH+]CCCN3)CC2)c(O)c1
LogP,Please modify the molecule CCC(CC)N(CCBr)c1ccc(C(F)(F)F)cc1F to decrease its LogP value.,CCC(CC)N(CCBr)c1ccc(C(F)F)cc1F
MR,Optimize the molecule CCOC(=O)CC1([NH2+]Cc2ccc(OCC3CC3)cc2)CC1 to have a lower MR value.,CCCCCCC(CCCCCCCCCCC(=O)C1(O)OC(CO)C(O)C(O)C1[NH3+])Oc1ccc(N=[N+]=[N-])cc1[SH]=O
QED,Modify the molecule CCCn1ncc(OC)c1C(O)c1occc1C to decrease its QED value.,NC(=[NH+]O)c1ccnc(OCc2ccccc2)n1
LogP,Please modify the molecule COC(=O)C1c2ccsc2CCN1C(=O)c1ccccc1I to decrease its LogP value.,CCC(C)C(=O)Nc1nnc(CCNC(=O)c2cc(Br)cc(-c3ccccc3)c2)s1
MR,Please optimize the molecule CCCCCCC(CCCCCCCCCCC(=O)C1(O)OC(CO)C(O)C(O)C1[NH3+])Oc1ccc(N=[N+]=[N-])cc1[N+](=O)[O-] to have a higher MR value.,CCOC(=O)C[N+]1=C(CN(C)C)N=C2C1C(=O)N(C)C(=O)N2C
QED,Please modify the molecule NC(=[NH+]O)c1ccnc(OCc2ccc(Br)cc2)n1 to decrease its QED value.,NC(=[NH+]O)c1ccnc(OCc2ccccc2)n1
LogP,Modify the molecule CCC(C)C(=O)Nc1nnc(CCNC(=O)c2cccc(Br)c2)s1 to increase its LogP value.,CCC(C)C(=O)Nc1nnc(CCNC(=O)c2cc(Br)cc(-c3ccccc3)c2)s1
MR,Please modify the molecule CCOC(=O)C[N+]1=C(CN(C)Cc2ccccc2)N=C2C1C(=O)N(C)C(=O)N2C to decrease its MR value.,CCOC(=O)C[N+]1=C(CN(C)C)N=C2C1C(=O)N(C)C(=O)N2C
QED,Optimize the molecule Cc1cc(=O)n(-c2nc(-c3ccccc3)cc(-c3cccnc3)n2)[nH]1 to have a higher QED value.,Cc1nc2ccccc2n1CC(=O)N1CCC2(CC1)OCCCC2S
LogP,Modify the molecule O=C([O-])C1CCN(C(=O)c2ccccc2O)CC1C(=O)[O-] to have a lower LogP value.,CCc1ccc(S)c(CC)c1NC(=O)c1ccccc1OC(F)F
MR,Modify the molecule CC(=O)N(C(=O)Nc1cccc(C(F)(F)F)c1)c1ccc(N)cc1 to increase its MR value.,CC(=O)N(C(=O)Nc1cccc(C(F)(F)S)c1)c1ccc(N)cc1
QED,Please optimize the molecule Cc1nc2ccccc2n1CC(=O)N1CCC2(CC1)OCCCC2O to have a lower QED value.,CSCc1nc(=S)c(C(C)O)c(C)[nH]1
LogP,Optimize the molecule CCc1ccc(Cl)c(CC)c1NC(=O)c1ccccc1OC(F)F to have a lower LogP value.,CCc1ccc(S)c(CC)c1NC(=O)c1ccccc1OC(F)F
MR,Please optimize the molecule Cc1nc(NCc2nccs2)ccc1Br to have a lower MR value.,Cc1cccc(NCc2nccs2)n1
QED,Optimize the molecule CCc1c(C)[nH]c(CSC)nc1=S to have a lower QED value.,CSCc1nc(=S)c(C(C)O)c(C)[nH]1
LogP,Please modify the molecule CNc1cc[nH+]cc1C(=O)N1CCCC(C)(OC)C1 to increase its LogP value.,Cc1cc(Br)cc2cc(I)sc12
MR,Please modify the molecule N#Cc1ccc(-c2cnnc(NCc3cc(-c4ccccn4)n[nH]3)n2)c(C(F)(F)F)c1 to decrease its MR value.,CC(=O)c1ccc(C(=O)Cc2c(-c3ccc(C)cc3)nc3ccc(C)cn23)cc1
QED,Modify the molecule NC(=O)C1CC(C2CC2)CC[NH2+]1 to have a lower QED value.,C1CC(C2CC2)C[NH2+]1
LogP,Please optimize the molecule OCc1cc(Br)cc2cc(I)sc12 to have a higher LogP value.,Cc1cc(Br)cc2cc(I)sc12
MR,Modify the molecule Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)c2ccc(Cl)cc2)cc1 to have a higher MR value.,CC(=O)c1ccc(C(=O)Cc2c(-c3ccc(C)cc3)nc3ccc(C)cn23)cc1
QED,Modify the molecule O=C(NN=Cc1ccc(OCc2ccc3ccccc3c2)cc1)c1ccc(C[NH+]2CCN(Cc3ccccc3)CC2)cc1 to have a lower QED value.,O=C(NN=Cc1ccc(OCc2ccc3ccccc3c2)cc1)c1ccc(C[NH+]2CCN(Cc3ccccc3)CC2)c(-c2ccccc2)c1
LogP,Optimize the molecule CNC(=O)c1cccn2nc(CC#N)cc12 to have a higher LogP value.,CNC(=O)c1c(-c2ccccc2)ccn2nc(CC#N)cc12
MR,Please modify the molecule CC(C)C(=O)Nc1ccc(CNC(=O)N2CCCCC([NH+]3CCCC3)C2)cc1 to increase its MR value.,CC(C)(C)[NH2+]CC(=O)Nc1c(Cl)cccc1Cl
QED,Please modify the molecule COc1ccc(C)cc1NC(=O)C1CCCN(c2ccc(=O)n(C)n2)C1 to decrease its QED value.,CCOc1cc(C)ncn1
LogP,Modify the molecule NC(=O)C(NC(=O)C1CCCN(C2=NS(=O)(=O)c3ccccc32)C1)c1ccccc1 to have a higher LogP value.,NC(=O)C1(c2ccccc2)CCCN(C2=NS(=O)(=O)c3ccccc32)C1
MR,Please optimize the molecule CC(C)NC(=O)C(C)[NH2+]CC(=O)Nc1c(Cl)cccc1Cl to have a lower MR value.,CC(C)(C)[NH2+]CC(=O)Nc1c(Cl)cccc1Cl
QED,Please modify the molecule CCOc1cc(C)nc(-c2ccccc2)n1 to decrease its QED value.,CCOc1cc(C)ncn1
LogP,Modify the molecule O=C(C1=C([NH+]2CCc3ccccc3C2)C(c2ccccc2)N(Cc2ccccc2)c2cc[nH+]cc21)C1=C([NH+]2CCc3ccccc3C2)C(c2ccccc2)N(Cc2ccccc2)c2cc[nH+]cc21 to have a lower LogP value.,O=C(Nc1ccccc1OCCc1ccccc1)C(=O)Nc1ccccc1[N+](=O)[O-]
MR,Optimize the molecule CC1C[NH+](CCC(O)C[NH3+])C(C)CO1 to have a lower MR value.,COc1cccc(C(=O)NCC2(c3ccsc3)CCC(O)C2)c1
QED,Modify the molecule Cc1cc(C)cc(-n2c(C)cc(C=C(C#N)C(=O)NCc3ccco3)c2C)c1 to have a lower QED value.,Cc1cc(C)cc(-n2c(C)cc(C=C(O)C(=O)NCc3ccco3)c2C)c1
LogP,Modify the molecule CCOc1ccccc1NC(=O)C(=O)Nc1ccccc1[N+](=O)[O-] to have a higher LogP value.,O=C(Nc1ccccc1OCCc1ccccc1)C(=O)Nc1ccccc1[N+](=O)[O-]
MR,Modify the molecule COc1cccc(C(=O)NCC2(c3ccsc3)CCCC2)c1 to increase its MR value.,Cc1c(C(=O)NCC(C)O)cccc1[N+](=O)[O-]
QED,Optimize the molecule CN(CC1CC(O)C1)c1ccccc1C(N)=[NH2+] to have a lower QED value.,CN(CC1CC(S)C1)c1ccccc1C(N)=[NH2+]
LogP,Modify the molecule COc1ccc(CNc2cc3c(cn2)[nH]c2ccccc23)cc1 to have a lower LogP value.,C#CC(NN)c1ccc(NO)cc1Cl
MR,Modify the molecule Cc1c(C(=O)NCC(C)Br)cccc1[N+](=O)[O-] to decrease its MR value.,CCCCN(C1CC1)C(C[NH3+])c1ccc(C)c(NO)c1
QED,Modify the molecule CS(=O)(=O)CCn1cc(N)nn1 to increase its QED value.,CCOc1ccc(CCCN2c3cccc4cccc(c34)S2(=O)=O)cc1
LogP,Please optimize the molecule C#CC(NN)c1ccc(Br)cc1Cl to have a lower LogP value.,O=CC(=O)N(Cl)Cl
MR,Please optimize the molecule CCCCN(C1CC1)C(C[NH3+])c1ccc(C)c(Cl)c1 to have a higher MR value.,COc1cc(C2=[NH+]CCN2)c(Br)cc1Br
QED,Please optimize the molecule CCOc1ccc(CNC(=O)CCCN2c3cccc4cccc(c34)S2(=O)=O)cc1 to have a higher QED value.,CCOc1ccc(CCCN2c3cccc4cccc(c34)S2(=O)=O)cc1
LogP,Optimize the molecule O=CC(=O)Nc1cccc(Cl)c1Cl to have a lower LogP value.,O=CC(=O)N(Cl)Cl
MR,Optimize the molecule COc1cc(NC2=[NH+]CCN2)c(Br)cc1Br to have a lower MR value.,COc1cc(C2=[NH+]CCN2)c(Br)cc1Br
QED,Modify the molecule CC[NH2+]CC(C(C)C)N(C)Cc1csc(C)n1 to have a higher QED value.,CCCc1[nH+]ccn1CC(NO)(NC(C)C)C1CC1
LogP,Modify the molecule CCCCCCCCCC(C)(C)c1ccc(C2CCCC(=O)C2)c(O)c1 to have a higher LogP value.,CSCC1CCN(S(=O)(=O)c2ccc(C(=O)[O-])cc2)C1
MR,Modify the molecule CC(C)Nc1ccc(C(=O)Nc2cccc(Cl)c2Cl)nn1 to decrease its MR value.,CC(C)c1ccc(C(=O)Nc2cccc(Cl)c2Cl)nn1
QED,Please modify the molecule CCCc1[nH+]ccn1CC(C#N)(NC(C)C)C1CC1 to decrease its QED value.,CCCc1[nH+]ccn1CC(NO)(NC(C)C)C1CC1
LogP,Modify the molecule CSCCC(=O)N1CCN(S(=O)(=O)c2ccc(C(=O)[O-])cc2)CC1 to have a higher LogP value.,C[NH+](CC(=O)NC(=O)NCC(F)F)Cc1ccccc1Br
MR,Modify the molecule C[NH+]=C(NCCC[NH+]1CCN(c2ncccn2)CC1)NCCSc1ccccc1 to have a lower MR value.,CCOc1cc(C(=O)O)ccc1C(=O)N1CCC(N2C(=O)CNC2=O)CC1
QED,Please modify the molecule Cc1ccc(C)c(OCCC(C[NH3+])c2ccc(F)cc2)c1 to decrease its QED value.,COc1ncncc1Nc1ccccc1
LogP,Optimize the molecule C[NH+](CC(=O)NC(=O)NCC(F)(F)F)Cc1ccccc1Br to have a lower LogP value.,C[NH+](CC(=O)NC(=O)NCC(F)F)Cc1ccccc1Br
MR,Optimize the molecule CCOc1ccccc1C(=O)N1CCC(N2C(=O)CNC2=O)CC1 to have a higher MR value.,CCOc1cc(C(=O)O)ccc1C(=O)N1CCC(N2C(=O)CNC2=O)CC1
QED,Modify the molecule COc1nc(Cl)ncc1Nc1ccccc1 to decrease its QED value.,COc1ncncc1Nc1ccccc1
LogP,Optimize the molecule O=C(NC1CCCC[NH2+]C1)c1cc(Cl)cc(Cl)c1 to have a lower LogP value.,Cc1cc(C)cc(CC2(C)CC3CC3C2)c1
MR,Modify the molecule CCC[NH2+]C(COC)Cn1cc(-c2ccccc2)cn1 to have a higher MR value.,O=C([O-])C(=O)CCCCCOc1ccccc1
QED,Please optimize the molecule CC(=O)NC12C[NH2+]CCC1C(c1ccccc1)N(C(=O)C1(c3ccc(Cl)cc3)CCCC1)C2 to have a higher QED value.,C=CCCC(COC1CCCCO1)c1ccccc1
LogP,Modify the molecule Cc1cc(C)cc(CC2(CBr)CC3CC3C2)c1 to decrease its LogP value.,Cc1cc(C)cc(CC2(C)CC3CC3C2)c1
MR,Please optimize the molecule O=C([O-])C(=O)CCCCCOc1ccc(-c2ccccc2)cc1 to have a lower MR value.,NNc1c(O)cncc1C(=O)Nc1cc(Cl)ccc1F
QED,Modify the molecule C=CCCC(COC1CCCCO1)(c1ccccc1)c1ccccc1 to have a higher QED value.,C=CCCC(COC1CCCCO1)c1ccccc1
LogP,Modify the molecule O=C([O-])c1ccn2c(-c3ccccc3)nc(Cl)c2c1 to decrease its LogP value.,O=C([O-])c1ccn2c(-c3ccccc3)nc(C(=O)[OH])c2c1
MR,Modify the molecule NNc1ccncc1C(=O)Nc1cc(Cl)ccc1F to increase its MR value.,NNc1c(O)cncc1C(=O)Nc1cc(Cl)ccc1F
QED,Please optimize the molecule Cc1cc(C)c(C#N)c(SC2=C(Nc3ccc(C(F)(F)F)cc3)C(=O)N(c3cc(Cl)ccc3C)C2=O)n1 to have a lower QED value.,Cc1cc(C)c(F)c(SC2=C(Nc3ccc(C(F)(F)F)cc3)C(=O)N(c3cc(Cl)ccc3C)C2=O)n1
LogP,Please modify the molecule C[NH+](C)C1(c2ccc(F)cc2)CCC2(CC1)[NH2+]CCc1c2[nH]c2ccccc12 to decrease its LogP value.,CC(C)[NH2+]Cc1ccc(C(=O)[OH])cc1-c1cc(F)cc(F)c1
